	BF_as_int	k	avg_sen	bias
561	3690475594258055167	6	1.0	53
562	5519032977167	6	1.0	11
563	1089871107128819711	6	1.0	53
564	844437832008451	6	1.0	11
565	4557431163689320447	6	1.0	53
566	1376511	6	1.0	11
567	71872876084461567	6	1.0	53
568	1407404948652047	6	1.0	11
569	1152745578988265471	6	1.0	53
570	1407465078194261	6	1.0	11
571	6196777162582745087	6	1.0	53
572	281694020239411	6	1.0	11
573	3746783780317134847	6	1.0	53
574	17913173	6	1.0	11
575	6148952257883799551	6	1.0	53
576	7999	6	1.0	11
577	218424581927469055	6	1.0	53
578	72340241558602001	6	1.0	11
579	8610732401905074047	6	1.0	53
580	5587752457493	6	1.0	11
581	6293780476421210111	6	1.0	53
582	4785156209704979	6	1.0	11
583	4035005360442931199	6	1.0	53
584	219044577331	6	1.0	11
585	3746774984224145407	6	1.0	53
586	2047	6	1.0	11
587	9007199254740991	6	1.0	53
588	1163936137999	6	1.0	11
589	1098878305043480575	6	1.0	53
590	281496535762181	6	1.0	11
591	6872316419627778047	6	1.0	53
592	1112447058691	6	1.0	11
593	4557430888803074047	6	1.0	53
594	281487912141571	6	1.0	11
595	4557430888811429887	6	1.0	53
596	4786247131271441	6	1.0	11
597	8608481151847200767	6	1.0	53
598	5527622911247	6	1.0	11
599	1107885504564559871	6	1.0	53
600	22349141	6	1.0	11
601	6151729624255561727	6	1.0	53
602	281548277485841	6	1.0	11
603	8608480567740039167	6	1.0	53
604	3311436759811	6	1.0	11
605	4557431163676786687	6	1.0	53
606	286332245	6	1.0	11
607	6149515173477482495	6	1.0	53
608	14199	6	1.0	11
609	1230608598178988031	6	1.0	53
610	281539401547791	6	1.0	11
611	1152745578719838207	6	1.0	53
612	2031679	6	1.0	11
613	287957697268023295	6	1.0	53
614	85267733	6	1.0	11
615	6293595074102034431	6	1.0	53
616	5576021	6	1.0	11
617	6149478374197690367	6	1.0	53
618	2031711	6	1.0	11
619	432072885343879167	6	1.0	53
620	84346631	6	1.0	11
621	2242545636631117823	6	1.0	53
622	85263701	6	1.0	11
623	6151731685839863807	6	1.0	53
624	81604378879	6	1.0	11
625	72057590682484735	6	1.0	53
626	30064771327	6	1.0	11
627	72057590279831551	6	1.0	53
628	844454995099663	6	1.0	11
629	1152710394616168447	6	1.0	53
630	84215567	6	1.0	11
631	1089694500768448511	6	1.0	53
632	1245439	6	1.0	11
633	71837691712372735	6	1.0	53
634	22352213	6	1.0	11
635	6158485023696617471	6	1.0	53
636	3380139266835	6	1.0	11
637	3978930267413807103	6	1.0	53
638	133143986271	6	1.0	11
639	432345560066818047	6	1.0	53
640	281496452530191	6	1.0	11
641	1152657619131793407	6	1.0	53
642	3328599655183	6	1.0	11
643	1098878305307721727	6	1.0	53
644	281840050045013	6	1.0	11
645	6196803550828265471	6	1.0	53
646	18764712121139	6	1.0	11
647	3690699892339507199	6	1.0	53
648	5631	6	1.0	11
649	24769797950537727	6	1.0	53
650	64424968207	6	1.0	11
651	1152675209975693311	6	1.0	53
652	281496457117781	6	1.0	11
653	6196766167600693247	6	1.0	53
654	81604391731	6	1.0	11
655	3689573991367835647	6	1.0	53
656	286594325	6	1.0	11
657	6293595177181249535	6	1.0	53
658	5519050081541	6	1.0	11
659	6872316557056278527	6	1.0	53
660	281547994497075	6	1.0	11
661	3746770587318452223	6	1.0	53
662	1408495870346501	6	1.0	11
663	6872317106814148607	6	1.0	53
664	286593365	6	1.0	11
665	6158487188360134655	6	1.0	53
666	281487862595599	6	1.0	11
667	1152657618594922495	6	1.0	53
668	984847	6	1.0	11
669	1089607227032993791	6	1.0	53
670	17761551	6	1.0	11
671	1107621075786661887	6	1.0	53
672	5527622913807	6	1.0625	13
673	1085367506427707391	6	1.0625	51
674	4785164803965013	6	1.0625	13
675	6196766167466473471	6	1.0625	51
676	4785439677677653	6	1.0625	13
677	6196768366456174591	6	1.0625	51
678	847736366891779	6	1.0625	13
679	4557431163676737535	6	1.0625	51
680	14335	6	1.0625	13
681	5629499534213119	6	1.0625	51
682	373662155007	6	1.0625	13
683	72057590112059391	6	1.0625	51
684	22527	6	1.0625	13
685	6192449487634431	6	1.0625	51
686	16255	6	1.0625	13
687	73183493944770559	6	1.0625	51
688	84348687	6	1.0625	13
689	1085120532396900351	6	1.0625	51
690	117901071	6	1.0625	13
691	1089623857146363903	6	1.0625	51
692	20132659	6	1.0625	13
693	3689349144595398655	6	1.0625	51
694	5348106163126323	6	1.0625	13
695	3746774984291203071	6	1.0625	51
696	85284181	6	1.0625	13
697	6148916936072757247	6	1.0625	51
698	3380139275059	6	1.0625	13
699	3689573991355252735	6	1.0625	51
700	1408495954232581	6	1.0625	13
701	6872316419619381247	6	1.0625	51
702	7726646167311	6	1.0625	13
703	1089871106050883583	6	1.0625	51
704	4785293648658483	6	1.0625	13
705	3746774984224110591	6	1.0625	51
706	18910741009203	6	1.0625	13
707	3690699891198656511	6	1.0625	51
708	89462101	6	1.0625	13
709	6149477687002923007	6	1.0625	51
710	133143986431	6	1.0625	13
711	72057589877178367	6	1.0625	51
712	84870927	6	1.0625	13
713	1089606539838226431	6	1.0625	51
714	844643974709299	6	1.0625	13
715	3746774984224096255	6	1.0625	51
716	53678899	6	1.0625	13
717	3690474769624334335	6	1.0625	51
718	290788693	6	1.0625	13
719	6149477790082138111	6	1.0625	51
720	22369621	6	1.0625	13
721	6148914874488455167	6	1.0625	51
722	17764111	6	1.0625	13
723	1085103077649809407	6	1.0625	51
724	281694023385139	6	1.0625	13
725	3746770586177601535	6	1.0625	51
726	7798911	6	1.0625	13
727	143853504308445183	6	1.0625	51
728	20972325311283	6	1.0625	13
729	3690699891261571071	6	1.0625	51
730	72340181461697283	6	1.0625	13
731	4557430888803041151	6	1.0625	51
732	2031871	6	1.0625	13
733	71784915154239487	6	1.0625	51
734	72903131381564163	6	1.0625	13
735	4557431163680931711	6	1.0625	51
736	1407739957149781	6	1.0625	13
737	6196768366456168447	6	1.0625	51
738	4803839334093073	6	1.0625	13
739	8608480602090862591	6	1.0625	51
740	72357833744650513	6	1.0625	13
741	8608480602090864511	6	1.0625	51
742	72342380451398403	6	1.0625	13
743	4557431163676753791	6	1.0625	51
744	3328599658255	6	1.0625	13
745	1085367506425610239	6	1.0625	51
746	844489355100175	6	1.0625	13
747	1152675209975644159	6	1.0625	51
748	73466089925051653	6	1.0625	13
749	6872316557058334591	6	1.0625	51
750	6226047	6	1.0625	13
751	143840310168911871	6	1.0625	51
752	286470963	6	1.0625	13
753	3689353508282171391	6	1.0625	51
754	3362959394575	6	1.0625	13
755	1089871105784545279	6	1.0625	51
756	51589939	6	1.0625	13
757	3689353267764002815	6	1.0625	51
758	845537377190659	6	1.0625	13
759	4557430888803024895	6	1.0625	51
760	511101108351	6	1.0625	13
761	144115184082878463	6	1.0625	51
762	18773302063923	6	1.0625	13
763	3689573991358922751	6	1.0625	51
764	4128895	6	1.0625	13
765	143838111145656319	6	1.0625	51
766	286994093901061	6	1.0625	13
767	6872316419617292287	6	1.0625	51
768	3604735	6	1.0625	13
769	71798109293772799	6	1.0625	51
770	300239975158033	6	1.0625	13
771	8608480567731126271	6	1.0625	51
772	1318554972979	6	1.0625	13
773	3689573991292338175	6	1.0625	51
774	72344588064720133	6	1.0625	13
775	6872316557056245631	6	1.0625	51
776	281539402203151	6	1.0625	13
777	1152657617789616127	6	1.0625	51
778	270582939775	6	1.0625	13
779	144115183847997439	6	1.0625	51
780	3517578220339	6	1.0625	13
781	3690699891194986495	6	1.0625	51
782	320017203	6	1.0625	13
783	3690479133311107071	6	1.0625	51
784	4786247416484113	6	1.0625	13
785	8608480567731648511	6	1.0625	51
786	72340190085317893	6	1.0625	13
787	6872316419619389311	6	1.0625	51
788	8191	6	1.0625	13
789	2251799813685247	6	1.0625	51
790	844454995886095	6	1.0625	13
791	1152657618058035199	6	1.0625	51
792	51316495	6	1.0625	13
793	1089606402399272959	6	1.0625	51
794	1970354902204431	6	1.0625	13
795	1152675210244071423	6	1.0625	51
796	24447	6	1.0625	13
797	73746443898191871	6	1.0625	51
798	5561982650127	6	1.0625	13
799	1089871105786642431	6	1.0625	51
800	5587752473941	6	1.0625	13
801	6149102338391932927	6	1.0625	51
802	23179938501973	6	1.0625	13
803	6149665288344829951	6	1.0625	51
804	1464583869781	6	1.0625	13
805	6149102338360475647	6	1.0625	51
806	1407404949307407	6	1.0625	13
807	1152657618058043391	6	1.0625	51
808	5862630364501	6	1.0625	13
809	6149665288311799807	6	1.0625	51
810	288559923	6	1.0625	13
811	3690475010142502911	6	1.0625	51
812	844506537852979	6	1.0625	13
813	3746770586244694015	6	1.0625	51
814	76843841185976593	6	1.0625	13
815	8608480602091386751	6	1.0625	51
816	284786447024899	6	1.0625	13
817	4557430888798846975	6	1.0625	51
818	236223201535	6	1.0625	13
819	72057590078504959	6	1.0625	51
820	72340241827041553	6	1.0625	13
821	8608480567731650431	6	1.0625	51
822	5911064706613333	6	1.0625	13
823	6196768366489720831	6	1.0625	51
824	353703253	6	1.0625	13
825	6149479851666440191	6	1.0625	51
826	30591	6	1.0625	13
827	77124143618719743	6	1.0625	51
828	5701887	6	1.0625	13
829	71800308317028351	6	1.0625	51
830	4785156211802163	6	1.0625	13
831	3746770586244708351	6	1.0625	51
